Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,10uF,C5137578
"C10, C11, C6, C8, C9",0603,5,1uF,C363560
C7,0603,1,4.7uF,C5252398
"D1, D3, D4, D5, D6",D_SOD-123,5,MBR0540,C116159
D2,0603,1,orange,C779453
"H1, H3",MountingHole_2.2mm_M2_Pad_Via,2,MountingHole_Pad,
H2,MountingHole_2.2mm_M2_Pad_Via,1,mounting hole,
H4,MountingHole_2.2mm_M2_DIN965_Pad,1,MountingHole_Pad,
IC1,ESP32S3WROOM1UN4,1,ESP32-S3-WROOM-1U-N4,C3013945
J1,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC4,
J10,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT2,
J11,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,EXT3,
J12,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,BATT,
J13,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT7,
J14,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,PWR,
J15,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT8,
J16,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,485,
J17,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,FTDI,
J2,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC3,
J3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC2,
J4,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,ADC1,
J5,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT4,
J6,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,I2C,
J7,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT5,
J8,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT1,
J9,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,EXT6,
Q1,SOT-23,1,DMG3415U,C96616
"Q2, Q4",SOT-23,2,S8050,C5249674
Q3,SOT-23,1,SS8050-G,C5249674
"R1, R2",0603,2,100K,C25803
"R10, R13",0603,2,20K,C25804
"R11, R6",0603,2,12K,C22790
"R12, R14, R15, R16, R17, R5, R7, R8, R9",0603,9,10K,C25804
"R3, R4",0603,2,5.1K,C23186
U1,SOT25,1,AP2112K-3.3TRG1,C51118
U2,SOT-23-5,1,MCP73831-2-OT,C424093
U3,SMT_FS,1,Boot,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,C19738
U5,SMT_FS,1,Reset,
U6,VSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGSR,C37593
